disease,feature_block,feature,mean_abs_shap,std_abs_shap,n_folds
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2009-09-03,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2010-01-01,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2010-04-08,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2010-05-01,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2010-05-05,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2010-06-28,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2010-08-01,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2010-08-17,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2010-08-26,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2010-10-04,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2010-10-11,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2010-11-10,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2010-12-06,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2011-01-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2011-04-02,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2011-05-01,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2011-05-28,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2011-07-22,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2011-09-14,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2011-10-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2011-11-19,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2012-01-01,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2012-04-16,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2012-04-20,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2012-04-25,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2012-05-01,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2012-05-24,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2012-07-02,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2012-08-15,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2012-10-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2012-10-10,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2012-11-26,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2013-01-01,0.0,0.0,4
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2013-05-01,0.0,0.0,5
acute flare-up of triaditis/chronic enteropathy,clinical_only,cat__date of birth_2013-05-28,0.0,0.0,4
